"","ENSEMBL","log2FoldChange","padj"
"333","ENSMUSG00000026174",-0.0747,0.92839231868686
"334","ENSMUSG00000026173",-0.0192,0.99947907438902
"335","ENSMUSG00000026135",-0.0074,0.99947907438902
"336","ENSMUSG00000026172",-0.0542,0.933235833052648
"337","ENSMUSG00000026171",-6e-04,0.99947907438902
"338","ENSMUSG00000033276",-0.0092,0.99598269142179
"339","ENSMUSG00000033257",-0.0597,0.894483436011487
"340","ENSMUSG00000026170",-0.0305,0.409962109610212
"341","ENSMUSG00000047021",-0.0251,0.803903813274415
"342","ENSMUSG00000026162",-0.0214,0.99224064201754
"343","ENSMUSG00000033159",0.0172,0.996062108733735
"344","ENSMUSG00000049339",0.1296,0.741328225044978
"345","ENSMUSG00000026197",-0.0623,0.928726869804138
"346","ENSMUSG00000026198",-0.0406,0.956391528095703
"347","ENSMUSG00000033124",0.0187,0.998085761353761
"348","ENSMUSG00000026199",0.0252,0.992044291691764
"349","ENSMUSG00000026200",-0.0191,0.995391456002029
"350","ENSMUSG00000026201",-0.0135,0.99947907438902
"351","ENSMUSG00000026202",-0.0252,0.996432226611783
"352","ENSMUSG00000026203",0.0353,0.995302781929233
"353","ENSMUSG00000026204",-0.0197,0.828372060953808
"354","ENSMUSG00000033061",-0.0172,0.359647035891891
"355","ENSMUSG00000026209",-0.0455,0.992044291691764
"356","ENSMUSG00000026208",-0.0142,0.846909807327764
"357","ENSMUSG00000026207",0.0291,0.995100954322104
"358","ENSMUSG00000033021",-0.0393,0.992044291691764
"359","ENSMUSG00000033007",0,0.99947907438902
"360","ENSMUSG00000032997",0.1804,0.582053871722202
"361","ENSMUSG00000026211",0.0048,0.99947907438902
"362","ENSMUSG00000051703",-0.0248,0.991157300355586
"363","ENSMUSG00000032968",0.0529,0.371283886485416
"364","ENSMUSG00000026213",0.0321,0.992044291691764
"365","ENSMUSG00000006576",0.0268,0.995391456002029
"366","ENSMUSG00000026235",0.227,0.328654982859378
"367","ENSMUSG00000032908",-3.5548,3.50038490376403e-07
"368","ENSMUSG00000026245",0.0488,0.991157300355586
"369","ENSMUSG00000012187",0.0041,0.99947907438902
"370","ENSMUSG00000032883",0.0908,0.858982361791265
"371","ENSMUSG00000079470",0.0445,0.783792717639598
"372","ENSMUSG00000047330",-0.0094,0.746961000571657
"373","ENSMUSG00000050711",0.0036,0.99947907438902
"374","ENSMUSG00000073643",0.0229,0.978290575452506
"375","ENSMUSG00000026248",0.0388,0.99224064201754
"376","ENSMUSG00000026249",-0.3155,0.191209699770901
"377","ENSMUSG00000067106",-0.0301,0.968312513095819
"378","ENSMUSG00000004364",-0.0443,0.987935224314068
"379","ENSMUSG00000038608",-0.019,0.870739192989998
"380","ENSMUSG00000055980",0.0076,0.99947907438902
"381","ENSMUSG00000026142",0.019,0.996062108733735
"382","ENSMUSG00000067158",-0.0011,0.99947907438902
"383","ENSMUSG00000079465",0.0013,0.99947907438902
"384","ENSMUSG00000097564",0.0062,0.995391456002029
"385","ENSMUSG00000026150",-0.0148,0.99947907438902
"386","ENSMUSG00000101450",-0.0061,0.996432226611783
"387","ENSMUSG00000026159",-0.0057,0.99947907438902
"388","ENSMUSG00000038496",-0.0279,0.653049821638031
"389","ENSMUSG00000101315",-0.0081,0.780998285002115
"390","ENSMUSG00000053161",-0.0022,0.99947907438902
"391","ENSMUSG00000045658",0.0536,0.987935224314068
"392","ENSMUSG00000036766",0.1189,0.79763743905369
"393","ENSMUSG00000102481",0.0053,0.99598269142179
"394","ENSMUSG00000026219",-0.0017,0.99947907438902
"395","ENSMUSG00000073633",-0.1754,0.433849458756602
"396","ENSMUSG00000070034",-0.0144,0.6281617686891
"397","ENSMUSG00000070031",-0.01,0.995252237345488
"398","ENSMUSG00000026222",-2.8108,2.38977394896408e-05
"399","ENSMUSG00000052760",-0.012,0.00582447690533461
"400","ENSMUSG00000036707",0.0023,0.99947907438902
"401","ENSMUSG00000026223",-0.0607,0.968559050694026
"402","ENSMUSG00000026224",-0.0514,0.939449553085405
"403","ENSMUSG00000099342",-0.0051,0.997625818070572
"404","ENSMUSG00000026226",0.1432,0.587926242354802
"405","ENSMUSG00000026227",0.0894,0.894483436011487
"406","ENSMUSG00000026229",-0.0127,0.99947907438902
"407","ENSMUSG00000062590",0.0229,0.995391456002029
"408","ENSMUSG00000079445",-0.0013,0.99947907438902
"409","ENSMUSG00000026234",-0.0033,0.99947907438902
"410","ENSMUSG00000073627",-0.0079,0.99947907438902
"411","ENSMUSG00000026238",0.0203,0.997625818070572
"412","ENSMUSG00000026239",-0.1497,0.653229928709501
"413","ENSMUSG00000026240",-0.0099,0.99947907438902
"414","ENSMUSG00000026241",-0.0235,0.79763743905369
"415","ENSMUSG00000053333",-0.0053,0.99947907438902
"416","ENSMUSG00000100768",0.0091,0.948959026358847
"417","ENSMUSG00000102383",-0.0045,0.99598269142179
"418","ENSMUSG00000084106",0.013,0.996062108733735
"419","ENSMUSG00000103984",-0.0156,0.983078340267449
"420","ENSMUSG00000026247",-0.0084,0.859321505715993
"421","ENSMUSG00000026254",0.0286,0.995391456002029
"422","ENSMUSG00000026255",0.0034,0.99947907438902
"423","ENSMUSG00000048000",0.0582,0.982193673313513
"424","ENSMUSG00000079436",-0.0063,0.940059554409448
"425","ENSMUSG00000026259",0.2564,0.118803831788201
"426","ENSMUSG00000079434",-0.0052,0.996955695971322
"427","ENSMUSG00000026288",-0.0442,0.413922740571608
"428","ENSMUSG00000026289",-0.0209,0.995391456002029
"429","ENSMUSG00000087968",-0.008,0.993268825119555
"430","ENSMUSG00000070738",0.0109,0.99947907438902
"431","ENSMUSG00000101942",0.0068,0.995391456002029
"432","ENSMUSG00000103591",0.0086,0.992044291691764
"433","ENSMUSG00000005501",0.0276,0.99224064201754
"434","ENSMUSG00000090124",-0.0098,0.785587766641451
"435","ENSMUSG00000054545",-0.0023,0.99947907438902
"436","ENSMUSG00000081984",0.0349,0.991157300355586
"437","ENSMUSG00000079429",-0.0047,0.99947907438902
"438","ENSMUSG00000044783",-0.0089,0.99947907438902
"439","ENSMUSG00000049866",-0.0382,0.769590208527612
"440","ENSMUSG00000036206",-0.0325,0.691415019291989
"441","ENSMUSG00000055013",-0.0257,0.857905092061065
"442","ENSMUSG00000104114",-0.0085,0.989912630766868
"443","ENSMUSG00000026301",-0.0104,0.979851268235217
"444","ENSMUSG00000044337",-0.8266,0.0788320043371757
"445","ENSMUSG00000034432",-0.0404,0.99224064201754
"446","ENSMUSG00000048126",-0.0073,0.195289377257504
"447","ENSMUSG00000026303",-0.0131,0.59589236965313
"448","ENSMUSG00000026305",-0.0807,0.301310733238951
"449","ENSMUSG00000034353",-0.2648,0.345554966861262
"450","ENSMUSG00000034343",-0.107,0.79763743905369
"451","ENSMUSG00000026307",0.0505,0.973501504811173
"452","ENSMUSG00000026309",0.1149,0.82108649231039
"453","ENSMUSG00000067071",-0.0278,0.99598269142179
"454","ENSMUSG00000055866",-0.0244,0.995252237345488
"455","ENSMUSG00000034292",0.0149,0.995100954322104
"456","ENSMUSG00000026311",0.0171,0.983078340267449
"457","ENSMUSG00000026313",0.039,0.992044291691764
"458","ENSMUSG00000026260",-0.0113,0.99947907438902
"459","ENSMUSG00000073616",-0.0924,0.780998285002115
"460","ENSMUSG00000034220",0.0502,0.979851268235217
"461","ENSMUSG00000047067",-0.0314,0.991157300355586
